Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;GASOLINA ADITIVADA;01/01/2026;6,49;;R$ / litro;RAIZEN
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;DIESEL;01/01/2026;5,99;;R$ / litro;RAIZEN
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;ETANOL;01/01/2026;4,99;;R$ / litro;RAIZEN
SE;ES;LINHARES;AUTO SERVICO FLORESTA LTDA; 05.609.081/0001-45;AVENIDA PREFEITO SAMUEL BATISTA CRUZ;1276;;ARACA;29900-100;GASOLINA;02/01/2026;6,59;;R$ / litro;VIBRA
SE;ES;LINHARES;AUTO SERVICO FLORESTA LTDA; 05.609.081/0001-45;AVENIDA PREFEITO SAMUEL BATISTA CRUZ;1276;;ARACA;29900-100;DIESEL;02/01/2026;5,89;;R$ / litro;VIBRA
SE;ES;LINHARES;CAMATTA & CIA LTDA; 30.578.975/0001-62;AVENIDA WENCESLAU BRAZ;133;;CENTRO;29901-260;GASOLINA;02/01/2026;6,59;;R$ / litro;IPIRANGA
SE;ES;LINHARES;CAMATTA & CIA LTDA; 30.578.975/0001-62;AVENIDA WENCESLAU BRAZ;133;;CENTRO;29901-260;GASOLINA ADITIVADA;02/01/2026;6,59;;R$ / litro;IPIRANGA
SE;ES;LINHARES;CAMATTA & CIA LTDA; 30.578.975/0001-62;AVENIDA WENCESLAU BRAZ;133;;CENTRO;29901-260;DIESEL;02/01/2026;5,89;;R$ / litro;IPIRANGA
SE;ES;LINHARES;AUTO POSTO DADINHO LTDA; 27.303.411/0001-02;RODOVIA BR 101;S/N;KM 140;CANIVETE;29901-401;GASOLINA ADITIVADA;02/01/2026;6,69;;R$ / litro;IPIRANGA
SE;ES;LINHARES;AUTO POSTO DADINHO LTDA; 27.303.411/0001-02;RODOVIA BR 101;S/N;KM 140;CANIVETE;29901-401;DIESEL S10;02/01/2026;6,09;;R$ / litro;IPIRANGA
SE;ES;LINHARES;AUTO POSTO DADINHO LTDA; 27.303.411/0001-02;RODOVIA BR 101;S/N;KM 140;CANIVETE;29901-401;ETANOL;02/01/2026;4,99;;R$ / litro;IPIRANGA
CO;GO;PORANGATU;FERREIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 08.381.059/0006-93;RODOVIA BR 153;SN;KM    58;ZONA RURAL;76550-000;GASOLINA;02/01/2026;6,29;;R$ / litro;VIBRA
CO;GO;PORANGATU;FERREIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 08.381.059/0006-93;RODOVIA BR 153;SN;KM    58;ZONA RURAL;76550-000;DIESEL;02/01/2026;5,79;;R$ / litro;VIBRA
CO;GO;PORANGATU;FERREIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 08.381.059/0006-93;RODOVIA BR 153;SN;KM    58;ZONA RURAL;76550-000;DIESEL S10;02/01/2026;5,85;;R$ / litro;VIBRA
